Store,Address,Latitude,Longitude,
목동트라팰리스점,서울특별시 양천구 오목로 299 트라팰리스 이스턴에비뉴 1층 ,37.52591947,126.8703051,
압구정현대아파트점,서울특별시 강남구 압구정로29길65 지하1층 ,37.53193153,127.0269351,
역삼역4번출구점,서울특별시 강남구 테헤란로143 고운빌딩1층 ,37.5007611,127.0349122,
시청역7번출구점,서울특별시 중구 세종대로84 2층 ,37.563851,126.9772085,
부평문화의거리점,"인천광역시 부평구 시장로29 1,2층  ",37.49383789,126.7255909,
강남대로센터점,서울특별시 강남구 강남대로442 흥국화재빌딩 2층  ,37.50224396,127.0262602,
구로G-ValleyMall,서울특별시 구로구 디지털로300 지밸리비즈플라자 2층 ,37.48353243,126.8941036,
내방역7번출구유중아트점,서울특별시 서초구 방배로178 유중아트센터1층 ,37.48968026,126.9928008,
오리역애플플라자점,경기도 성남시 분당구 탄천상로151번길20 월드쇼핑 B동 1층 ,37.34020267,127.1069967,
도심공항점,서울특별시 강남구 테헤란로87길22 도심공항터미널 지하1층 ,37.50986445,127.0593707,
타임스퀘어점,서울특별시 영등포구 영중로15 타임스퀘어 1층 ,37.51733776,126.9038538,
차병원사거리점,서울특별시 강남구 봉은사로207 KJ타워1층 ,37.50800814,127.0346276,
엔터식스한양대점,서울특별시 성동구 왕십리로241 서울특별시숲더샵 판매시설201동 지하2층 ,37.55566526,127.0370516,
CBTL(커피빈)파르나스몰점,서울특별시 강남구 테헤란로521 파르나스몰 지하1층 ,37.50931898,127.060778,
광화문역1번출구점,서울특별시 종로구 새문안로5가길 7 1층 일부 ,37.57297007,126.9739929,
현대프리미엄아울렛김포점,경기 김포시 고촌읍 전호리 654번지 현대프리미엄아울렛김포3층 618호 ,37.59960363,126.7857166,
여의도신영증권별관점,서울특별시 영등포구 국제금융로8길6 신영증권별관빌딩2층 ,37.52195918,126.9297012,
이태원제일기획옆점,서울특별시 용산구 이태원로220(한남동) 1층 ,37.53498517,126.9984157,
강남역GT타워옆점,서울특별시 서초구 서초대로73길12 세계빌딩1층  ,37.49866579,127.0256693,
광교아브뉴프랑점,"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호   ",37.30316872,127.0441621,
광장동대한제지점,서울특별시 광진구 아차산로563(광장동) 대한제지빌딩 로비층 ,37.54426178,127.1029001,
신천역점,서울특별시 송파구 올림픽로100 효창타워1층 ,37.51162408,127.0817634,
포항영일대점,경상북도 포항시 북구 삼호로265번길1 NB-City복합시설1층104호 ,36.06181184,129.3796912,
낙성대역점,"서울특별시 관악구 남부순환로1909 1,2층  ",37.47827822,126.9616058,
진주LH본사점,경상남도 진주시 충의로 19 LH진주사옥 홍보관1층 ,35.17865819,128.1457691,
인천공항탑승동130gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57 ,37.45023407,126.4509582,
인천공항탑승동105gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68 ,37.45023407,126.4509582,
용산아이파크몰점,서울특별시 용산구 한강대로23길55 현대아이파크몰용산 서관6층 ,37.52991966,126.9647043,
경주미탐시티점,경상북도 경주시 엑스포로80(천군동)1층 ,35.83522298,129.2895188,
석촌호수점,서울특별시 송파구 석촌호수로 222 제이타워 1층 ,37.50707118,127.1015386,
오목교역사거리점,"서울특별시 양천구 오목로 350 목동썬텍씨티빌딩 1층,2층  ",37.52429716,126.8762648,
을지로입구역점,"서울특별시 중구 남대문로10길 6 1,2층   ",37.56706099,126.983255,
명동M플라자점,서울특별시 중구 명동8길 27(명동2가) ,37.5626934,126.9851854,
송도홈플러스점,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층 ,37.38248503,126.657414,
올림픽공원북2문앞점,서울특별시 강동구 강동대로193 1층 ,37.52470453,127.1279519,
고대참살이길점,"서울특별시 성북구 인촌로24길 25 (안암동5가) 2층,3층  ",37.58515822,127.0294765,
예술의전당앞점,"서울특별시 서초구 반포대로4(서초동) 2층, 3층  ",37.48140361,127.0132141,
삼성역글라스타워뒷점,서울특별시 강남구 영동대로85길 9 (대치동) 서전빌딩1층 ,37.5072263,127.0629085,
범계역로데오점,경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층 ,37.39067026,126.953379,
포스코옆삼성로86길점,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층 ,37.50597181,127.0582382,
상암한국지역정보개발원점,서울특별시 마포구 성암로301 KLID한국지역정보개발원 1층 ,37.58251951,126.8880226,
판교알파돔시티점,경기도 성남시 분당구 판교역로145(백현동) 판교알파돔 C2-3블럭 1층 ,37.38996632,127.1098174,
대치동나무병원점,서울특별시 강남구 영동대로 225 나무병원1층 (대치동994-5) ,37.49941744,127.0676319,
분당정자점,경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층 ,37.37085996,127.1055929,
신논현역점,서울특별시 강남구 봉은사로108 글라스톤빌딩1층 ,37.51394587,127.0644388,
강서그랜드아이파크점,서울특별시 강서구 화곡6동 1095번지 1층 ,37.55508353,126.8511445,
상암DDMC점,서울특별시 마포구 상암동 1610번지 DDMC 지하 1층 ,37.57926093,126.8933503,
연대동문회관점,"서울특별시 서대문구 대신동 50-5 1층,2층(B동)  ",37.56318485,126.9432403,
평촌점,"경기도 안양시 동안구 시민대로327번길 6, W 에이스타워 1층  ",37.39731664,126.9666544,
